No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
1,implemento desguarnecedor de lastro de ferrovias,FERNANDO ZEFERINO LUCAS [BR],FERNANDO ZEFERINO LUCAS [BR],BR102019013642A2,2019-07-01,E01B27/04,E01B27/04 (BR),2021-01-05,2021-01-05,74501987
2,biofármaco para neuroproteção e regeneração axonal em doenças ópticas degenerativas,"ANTONIO GALINA FILHO [BR] 
EDUARDO DE SOUZA FERREIRA [BR] 
GABRIEL NASCIMENTO DOS SANTOS [BR] 
HILDA PETRS SILVA [BR] 
RAFAEL LINDEN [BR]",UNIV RIO DE JANEIRO [BR],BR102019013755A2,2019-07-03,"A61K31/435 
A61K35/407 
A61K38/17 
A61P27/02","A61K31/435 (BR) 
A61K35/407 (BR) 
A61K38/17 (BR) 
A61P27/02 (BR)",2021-01-12,2021-01-12,74502071
3,"síntese por ativação mecanoquímica de hidrogeno fosfato de cálcio e potássio, fosfato de cálcio e potássio e hidroxiapatita a partir de cascas de ovos (calcita) e monohidrogeno fosfato de potássio","FERNANDO WYPYCH [BR] 
ROGER BORGES [BR]",UNIV FEDERAL PARANA [BR],BR102019014444A2,2019-07-12,"C05D1/00 
C05F9/00 
C05G3/00","C05D1/00 (BR) 
C05F9/00 (BR) 
C05G3/00 (BR) 
Y02A40/20 (EP)",2021-01-12,2021-01-12,74502100
4,módulo regulável com kit de irrigação para jardim vertical,DANILO MALVEZZI BATISTA TORRES [BR],DANILO MALVEZZI BATISTA TORRES 32465320874 [BR],BR102020013203A2,2020-06-26,"A01G9/02 
A01G9/24","A01G9/025 (BR) 
A01G9/247 (BR) 
Y02A40/25 (EP)",2021-01-05,2021-01-05,74502004
5,ultraleve costumizado com posições distintas de voar,VANDER LARA VILELA [BR],VANDER LARA VILELA [BR],BR202019014407U2,2019-07-11,B64C31/028,,2021-01-19,2021-01-19,74504441
6,módulo fotovoltaico com região protetora e método de proteção de módulo fotovoltaico,"ANTONIO CESAR GALHARDI [BR] 
FERNANDO DE MORAIS GOMEZ [BR] 
LEONARDO AUGUSTO DE CAMPOS [BR]",TOPICO LOCACOES DE GALPOES E EQUIPAMENTOS PARA IND S A [BR],BR102020001381A2,2020-01-22,"H02S30/00 
H02S40/34","H02S30/00 (BR) 
H02S40/34 (BR) 
Y02E10/50 (EP)",2021-01-05,2021-01-05,74501997
7,filtro controlável de frequências para o novo sistema 5g e wimax,"FABRÍCIO JOSÉ BRITO BARROS [BR] 
FLÁVIO HENRY CUNHA DA SILVA FERREIRA [BR] 
GERVÁSIO PROTÁSIO DOS SANTOS CAVALCANTE [BR] 
JASMINE PRISCYLA LEITE DE ARAÚJO [BR] 
MIÉRCIO CARDOSO DE ALCÂNTARA NETO [BR]",UNIV FEDERAL PARA [BR],BR102019014114A2,2019-07-08,"H01Q15/00 
H01Q9/04","H01Q15/0013 (BR) 
H01Q9/0407 (BR)",2021-01-19,2021-01-19,74504367
8,placas de isolamento térmico e acústico para superfícies superiores de telhados,AUGUSTO CARDOSO FERNANDES [BR],AUGUSTO CARDOSO FERNANDES [BR],BR102019013752A2,2019-07-02,"E04B1/62 
E04D13/16","E04B1/62 (BR) 
E04D13/16 (BR)",2021-01-12,2021-01-12,74502124
9,disposição construtiva em dispositivo de segurança aplicado em tomada elétrica,SIEGFRIED KARL SCHLACHTER [BR],SIEGFRIED KARL SCHLACHTER [BR],BR222019014749Y1,2018-11-19,H01R13/453,,2021-01-26,2021-01-26,74532427
10,estofado modular,JOSÉ AGNELO SEGER [BR],HERVAL IND DE MOVEIS COLCHOES E ESPUMAS LTDA [BR],BR202016005646Y1,2016-03-15,"A47C17/02 
A47C17/86","A47C17/02 (BR) 
A47C17/86 (BR)",2021-01-19,2021-01-19,74504449
11,recobrimento imprimível híbrido de material bioativo com inibição estrutural de formação de placa bacteriana,"ELIBE SILVA SOUZA [BR] 
LIZETH ALEJANDRA GUERRERO ZAMBRANO [EC] 
NICOLE ESTEFANÍA BARRERA PAREDES [BR] 
PETRUS D'AMORIM SANTA CRUZ OLIVEIRA [BR] 
ROSELY MAIER-QUEIROZ [BR]",UNIV PERNAMBUCO FEDERAL [BR],BR102019014838A2,2019-07-18,"A01N25/10 
A01N25/28 
A01N25/34 
A01N59/16 
A01P1/00","A01N25/10 (BR) 
A01N25/28 (BR) 
A01N25/34 (BR) 
A01N59/16 (BR)",2021-01-19,2021-01-19,74504390
12,película plástica frontral destacável aplicada em caixas elétricas de passagem,FERNANDA GOMES GUESSER [BR],FERNANDA GOMES GUESSER IND DE PLASTICOS [BR],BR202019014141U2,2019-07-08,H02G3/08,H02G3/08 (BR),2021-01-12,2021-01-12,74502154
13,disposição aplicada em difusor aromático portátil,TÂMARA TORRES GUMERATO ANJULA [BR],TAMARA TORRES GUMERATO ANJULA [BR],BR202019013813U2,2019-07-03,A61L9/12,A61L9/12 (BR),2021-01-12,2021-01-12,74502152
14,coletor de fezes para exames laboratoriais,GUILHERME PALHARES [BR],GUILHERME PALHARES [BR],BRMU9003064Y1,2010-08-23,A61B10/00,A61B10/0038 (BR),2021-01-12,2021-01-12,74502182
15,disposição construtiva introduzida em emenda ou reparo pré-formado utilizados em cabeamento de linhas de distribuição e transmissão de energia elétrica,"JOSE EDUARDO MORAES [BR] 
RODRIGO APARECIDO LEAL [BR]",MACLEAN POWER SYSTEMS DO BRASIL LTDA [BR],BR202019023262U2,2019-11-05,H02G15/08,H02G15/08 (BR),2021-01-05,2021-01-05,74502055
16,disposição técnica introduzida em encaixe para vigas de madeira e outras peças,VILMO JOSUE POIER [BR],MADEIREIRA PRIMAVERA LTDA ME [BR],BR202019013894U2,2019-07-04,E04B1/26,"E04B1/2604 (BR) 
E04B2001/262 (BR) 
E04B2001/266 (BR)",2021-01-12,2021-01-12,74502120
17,aperfeiçoamentos introduzidos em bloco composto por núcleo moldado em poliestireno expandido revestido por micro concreto com reforço de fibra de vidro,SILVIO ROGERIO CHUPERNATE [BR],SILVIO ROGERIO CHUPERNATE [BR],BR102019014124A2,2019-07-08,"E04C1/40 
E04C3/36","E04C1/40 (BR) 
E04C3/36 (BR)",2021-01-19,2021-01-19,74504370
18,fertilizante com ação corretiva de solo compreendendo cálcio e magnésio de alta escoabilidade e eficiência agronômica e método de obtenção correspondente,"CARLOS EDUARDO FURQUIM BEZERRA [BR] 
ELENA CHARIPOVA [BR]","CAETE PARTICIPACAO E ADMINISTRACAO EIRELI [BR] 
CALTEC QUIM INDUSTRIAL S/A [BR]",BR102019014507A2,2019-07-12,"C05D3/02 
C05D5/00 
C05G5/00","C05D3/02 (BR) 
C05D5/00 (BR)",2021-01-26,2021-01-26,74504603
19,placa pré-moldada de concreto reciclável e vinhaça,"JACQUELINE ROBERTA TAMASHIRO [BR] 
PATRÍCIA ALEXANDRA ANTUNES [BR] 
REBECA DELATORE SIMÕES [BR]",ASSOCIACAO PRUDENTINA DE EDUCACAO E CULTURA APEC [BR],BR202020008088U2,2020-04-23,C04B24/14,C04B24/14 (BR),2021-01-05,2021-01-05,74502028
20,formulações farmacêuticas com extrato da semente de euterpe oleracea mart,"ANA PAULA SILVA DE AZEVEDO SANTOS [BR] 
MARIA DO DESTERRO SOARES BRANDÃO NASCIMENTO [BR] 
WALBERT EDSON MUNIZ FILHO [BR]",UNIV FEDERAL DO MARANHAO [BR],BR102019013536A2,2019-06-28,"A61K36/889 
A61P35/00",,2021-01-05,2021-01-05,74501977
21,modulo sincronizador de limpadores de para-brisas em veículos automotores,"ESTYVERSON FERNANDO GIACOMINI [BR] 
FÁBIO QUIRILLO MILLEO [BR]","ESTYVERSON FERNANDO GIACOMINI [BR] 
FABIO QUIRILLO MILLEO [BR]",BR102019013321A2,2019-06-26,B60S1/08,,2021-01-05,2021-01-05,74501971
22,disposição técnica e construtiva introduzida em caixa de charutos,MICHEL GUEDES [BR],NATIVO DEL CARIBE COMERCIO IMP EXPORTACAO E REPRESENTACAO LTDA ME [BR],BR202019014617U2,2019-07-16,B65D85/12,,2021-01-26,2021-01-26,74504620
23,membrana de fibras eletrofiadas,"DANIEL KOHLS [BR] 
ELIANA APARECIDA DE REZENDE DUEK [BR] 
MARCIA ADRIANA TOMAZ DUARTE [BR]","DANIEL KOHLS [BR] 
ELIANA APARECIDA DE REZENDE DUEK [BR] 
MARCIA ADRIANA TOMAZ DUARTE [BR]",BR102019014286A2,2019-07-10,"A61L27/14 
A61L27/48",,2021-01-19,2021-01-19,74504384
24,disposição construtiva em equipamento para tratamento microbiológico e fluoretação de água,CLOVIS BOURSCHEID [BR],CLOVIS BOURSCHEID [BR],BRMU9003063Y1,2010-10-05,"C02F1/76 
C02F3/00",,2021-01-12,2021-01-12,74502181
